Wavelength (nm)	Reflectance
300	0.621413
302	0.6199177
304	0.6139648
306	0.6033311
308	0.5879746
310	0.5678342
312	0.5429654
314	0.5134409
316	0.4796864
318	0.4426709
320	0.4039713
322	0.3659681
324	0.3316063
326	0.304232
328	0.2866713
330	0.2806943
332	0.286595
334	0.3029088
336	0.3272058
338	0.3564653
340	0.3879427
342	0.4196415
344	0.4498653
346	0.47776
348	0.5028225
350	0.5248613
352	0.5438241
354	0.5601162
356	0.573619
358	0.5841655
360	0.5910225
362	0.5935837
364	0.591209
366	0.5834327
368	0.5702825
370	0.5524071
372	0.530213
374	0.5041586
376	0.4749239
378	0.4434376
380	0.4107911
382	0.3775866
384	0.3447252
386	0.3131122
388	0.2836928
390	0.2574789
392	0.2354977
394	0.218356
396	0.2065337
398	0.2001858
400	0.1991233
402	0.202919
404	0.2109394
406	0.2223201
408	0.2362062
410	0.252085
412	0.2691022
414	0.2865716
416	0.3039405
418	0.3208688
420	0.3370039
422	0.3521037
424	0.3660548
426	0.3785051
428	0.3894596
430	0.3990256
432	0.4071834
434	0.4138881
436	0.4191976
438	0.4231895
440	0.4257917
442	0.4270252
444	0.4270078
446	0.4257342
448	0.423218
450	0.41949
452	0.4145795
454	0.408563
456	0.4014424
458	0.39332
460	0.3841787
462	0.374142
464	0.3631904
466	0.351334
468	0.3385156
470	0.3249558
472	0.3109752
474	0.296343
476	0.2811062
478	0.26578
480	0.2504611
482	0.2350348
484	0.2197216
486	0.2048564
488	0.1905134
490	0.1768867
492	0.1641168
494	0.1524025
496	0.1418708
498	0.1327316
500	0.1250111
502	0.1188077
504	0.1141695
506	0.1111652
508	0.1097324
510	0.1099156
512	0.1116436
514	0.1147829
516	0.1192058
518	0.1248626
520	0.1316146
522	0.1393567
524	0.1478825
526	0.1570533
528	0.1667671
530	0.1768584
532	0.1871215
534	0.1975289
536	0.2080308
538	0.2185309
540	0.22896
542	0.2391672
544	0.2491105
546	0.2587032
548	0.267944
550	0.2769315
552	0.2855521
554	0.2936761
556	0.301201
558	0.3082635
560	0.3149829
562	0.3212554
564	0.3270218
566	0.3322482
568	0.3369923
570	0.3413065
572	0.345169
574	0.3485571
576	0.3514894
578	0.3539616
580	0.3559782
582	0.3575317
584	0.35866
586	0.3594008
588	0.3597466
590	0.3596818
592	0.3592346
594	0.3583965
596	0.3571709
598	0.3555843
600	0.3536279
602	0.3513275
604	0.3486938
606	0.3457113
608	0.3423851
610	0.3387353
612	0.3347993
614	0.330566
616	0.3260555
618	0.3212417
620	0.3161509
622	0.3107799
624	0.3051626
