n anno mese giorno hum_int hum_corrected RH_raw RH_true temp_int temp_corr
0 2022 12 21 29150.00 0.401033 1505 46.31 6144 21.84
1 2022 12 21 29151.40 1.201692 1505 49.16 6144 21.84
2 2022 12 21 29151.40 1.601970 1505 49.16 6143 21.83
3 2022 12 21 29152.40 2.002295 1505 49.16 6144 21.84
4 2022 12 21 29152.40 2.402797 1505 49.16 6142 21.82
5 2022 12 21 29152.40 2.803053 1505 49.16 6142 21.82
6 2022 12 21 29153.40 3.203391 1505 49.16 6143 21.83
7 2022 12 21 29153.40 3.603922 1505 49.16 6143 21.83
8 2022 12 21 29154.40 4.004181 1504 49.13 6144 21.84
9 2022 12 21 29154.40 4.404708 1504 49.13 6142 21.82
10 2022 12 21 29154.40 4.805259 1505 49.16 6142 21.82
11 2022 12 21 29155.00 4.805899 1504 49.13 6143 21.83
12 2022 12 21 29155.00 5.206522 1505 49.16 6144 21.84
13 2022 12 21 29156.00 5.607117 1504 49.13 6142 21.82
14 2022 12 21 29156.00 6.007739 1505 49.16 6143 21.83
15 2022 12 21 29156.00 6.408027 1504 49.13 6143 21.83
16 2022 12 21 29157.00 6.808694 1505 49.16 6142 21.82
17 2022 12 21 29157.40 7.208694 1505 49.16 6144 21.84
18 2022 12 21 29157.40 7.609215 1505 49.16 6143 21.83
19 2022 12 21 29158.40 8.009493 1504 49.13 6143 21.83
20 2022 12 21 29158.40 8.410142 1504 49.13 6142 21.82
21 2022 12 21 29158.40 8.810711 1504 49.13 6142 21.82
22 2022 12 21 29159.40 9.211329 1505 49.16 6142 21.82
23 2022 12 21 29159.40 9.611954 1504 49.13 6142 21.82
24 2022 12 21 29160.40 10.012249 1504 49.13 6142 21.82
25 2022 12 21 29160.40 10.412491 1505 49.16 6143 21.83
26 2022 12 21 29160.40 10.812741 1505 49.16 6144 21.84
27 2022 12 21 29161.40 11.213003 1504 49.13 6142 21.82
28 2022 12 21 29161.40 11.613288 1504 49.13 6143 21.83
29 2022 12 21 29162.40 12.013588 1505 49.16 6144 21.84
30 2022 12 21 29162.40 12.413898 1504 49.13 6143 21.83
31 2022 12 21 29162.40 12.814196 1505 49.16 6144 21.84
32 2022 12 21 29163.40 13.214491 1504 49.13 6144 21.84
33 2022 12 21 29163.00 13.214787 1504 49.13 6144 21.84
34 2022 12 21 29164.00 13.615064 1504 49.13 6145 21.85
35 2022 12 21 29164.00 14.015342 1505 49.16 6144 21.84
36 2022 12 21 29164.00 14.415639 1505 49.16 6144 21.84
37 2022 12 21 29165.00 14.815926 1504 49.13 6146 21.86
38 2022 12 21 29165.40 15.215926 1504 49.13 6145 21.85
39 2022 12 21 29165.40 15.616344 1504 49.13 6145 21.85
40 2022 12 21 29166.40 16.016656 1504 49.13 6145 21.85
41 2022 12 21 29166.40 16.416936 1504 49.13 6146 21.86
42 2022 12 21 29166.40 16.817238 1504 49.13 6145 21.85
43 2022 12 21 29167.40 17.217540 1504 49.13 6145 21.85
44 2022 12 21 29167.40 17.617840 1504 49.13 6145 21.85
45 2022 12 21 29168.40 18.018138 1504 49.13 6146 21.86
46 2022 12 21 29168.40 18.418483 1504 49.13 6146 21.86
47 2022 12 21 29169.40 18.818777 1505 49.16 6146 21.86
48 2022 12 21 29169.40 19.219339 1504 49.13 6146 21.86
49 2022 12 21 29169.40 19.619969 1504 49.13 6146 21.86
50 2022 12 21 29170.40 20.020306 1504 49.13 6146 21.86
51 2022 12 21 29170.40 20.420639 1504 49.13 6145 21.85
52 2022 12 21 29171.40 20.821200 1504 49.13 6146 21.86
53 2022 12 21 29171.40 21.221521 1504 49.13 6146 21.86
54 2022 12 21 29171.00 21.222104 1504 49.13 6146 21.86
55 2022 12 21 29172.00 21.622438 1504 49.13 6146 21.86
56 2022 12 21 29172.00 22.022953 1504 49.13 6145 21.85
57 2022 12 21 29173.00 22.423277 1504 49.13 6146 21.86
58 2022 12 21 29173.00 22.823584 1504 49.13 6145 21.85
59 2022 12 21 29173.00 23.224204 1504 49.13 6146 21.86
