n anno mese giorno hum_int time RH_raw RH_true temp_int temp_corr
0 2022 12 15 42852.00 0.781275 1811 55.31 6234 22.74
1 2022 12 15 42852.40 1.181275 1810 58.80 6235 22.75
2 2022 12 15 42852.40 1.962100 1811 58.84 6235 22.75
3 2022 12 15 42852.80 2.362100 1810 58.80 6236 22.76
4 2022 12 15 42853.40 2.742811 1811 58.84 6236 22.76
5 2022 12 15 42853.80 3.142811 1811 58.84 6236 22.76
6 2022 12 15 42854.40 3.523398 1811 58.84 6235 22.75
7 2022 12 15 42854.80 3.923398 1810 58.80 6236 22.76
8 2022 12 15 42855.40 4.303918 1811 58.84 6235 22.75
9 2022 12 15 42855.80 4.703918 1811 58.84 6236 22.76
10 2022 12 15 42855.40 5.084732 1811 58.84 6237 22.77
11 2022 12 15 42855.80 5.484732 1811 58.84 6236 22.76
12 2022 12 15 42856.40 5.865115 1811 58.84 6235 22.75
13 2022 12 15 42856.80 6.265115 1810 58.80 6236 22.76
14 2022 12 15 42857.40 6.645772 1811 58.84 6236 22.76
15 2022 12 15 42857.80 7.045772 1810 58.81 6236 22.76
16 2022 12 15 42858.40 7.426348 1811 58.84 6236 22.76
17 2022 12 15 42858.80 7.826348 1811 58.84 6235 22.75
18 2022 12 15 42859.40 8.207163 1811 58.84 6236 22.76
19 2022 12 15 42859.80 8.607163 1811 58.84 6235 22.75
20 2022 12 15 42859.40 8.987544 1811 58.84 6236 22.76
21 2022 12 15 42859.80 9.387544 1811 58.84 6236 22.76
22 2022 12 15 42860.40 9.767882 1811 58.84 6235 22.75
23 2022 12 15 42860.80 10.167882 1811 58.84 6236 22.76
24 2022 12 15 42861.40 10.548489 1811 58.84 6236 22.76
25 2022 12 15 42861.80 10.948489 1811 58.84 6235 22.75
26 2022 12 15 42862.40 11.328872 1811 58.84 6236 22.76
27 2022 12 15 42862.80 11.728872 1811 58.84 6235 22.75
28 2022 12 15 42862.40 12.109516 1810 58.80 6236 22.76
29 2022 12 15 42862.80 12.509516 1811 58.84 6235 22.75
30 2022 12 15 42863.40 12.890246 1811 58.84 6236 22.76
31 2022 12 15 42863.80 13.290246 1810 58.81 6235 22.75
32 2022 12 15 42864.40 13.670950 1811 58.84 6235 22.75
33 2022 12 15 42864.80 14.070950 1810 58.80 6235 22.75
34 2022 12 15 42865.00 14.051602 1811 58.84 6235 22.75
35 2022 12 15 42865.40 14.451602 1810 58.80 6236 22.76
36 2022 12 15 42866.00 14.832296 1810 58.81 6236 22.76
37 2022 12 15 42866.40 15.232296 1810 58.81 6236 22.76
38 2022 12 15 42866.00 15.612993 1811 58.84 6235 22.75
39 2022 12 15 42866.40 16.012993 1810 58.80 6235 22.75
40 2022 12 15 42867.00 16.393706 1810 58.80 6236 22.76
41 2022 12 15 42867.40 16.793706 1810 58.81 6235 22.75
42 2022 12 15 42868.00 17.174085 1810 58.80 6236 22.76
43 2022 12 15 42868.40 17.574085 1810 58.81 6235 22.75
44 2022 12 15 42869.00 17.954459 1810 58.80 6235 22.75
45 2022 12 15 42869.40 18.354459 1810 58.80 6235 22.75
46 2022 12 15 42869.80 18.754459 1810 58.80 6235 22.75
47 2022 12 15 42870.40 19.135270 1810 58.80 6236 22.76
48 2022 12 15 42870.80 19.535270 1810 58.81 6234 22.74
49 2022 12 15 42870.40 19.915823 1810 58.80 6235 22.75
50 2022 12 15 42870.80 20.315823 1810 58.80 6234 22.74
51 2022 12 15 42871.40 20.696267 1810 58.80 6235 22.75
52 2022 12 15 42871.80 21.096267 1810 58.80 6234 22.74
53 2022 12 15 42872.40 21.476865 1810 58.80 6235 22.75
54 2022 12 15 42872.80 21.876865 1810 58.80 6235 22.75
55 2022 12 15 42873.40 22.257436 1810 58.80 6235 22.75
56 2022 12 15 42873.80 22.657436 1811 58.84 6236 22.76
57 2022 12 15 42873.40 23.037883 1810 58.81 6234 22.74
58 2022 12 15 42873.80 23.437883 1810 58.80 6236 22.76
59 2022 12 15 42874.40 23.818376 1810 58.81 6236 22.76
60 2022 12 15 42874.80 24.218376 1810 58.81 6236 22.76
61 2022 12 15 42875.40 24.599091 1810 58.81 6235 22.75
62 2022 12 15 42875.80 24.999091 1810 58.80 6236 22.76
63 2022 12 15 42876.40 25.379490 1810 58.81 6235 22.75
64 2022 12 15 42876.80 25.779490 1810 58.80 6236 22.76
65 2022 12 15 42877.40 26.159836 1810 58.81 6236 22.76
66 2022 12 15 42877.80 26.559836 1810 58.81 6234 22.74
67 2022 12 15 42877.40 26.940497 1810 58.80 6236 22.76
68 2022 12 15 42877.80 27.340497 1810 58.81 6235 22.75
69 2022 12 15 42878.40 27.720952 1810 58.80 6234 22.74
70 2022 12 15 42878.80 28.120952 1810 58.80 6234 22.74
71 2022 12 15 42879.40 28.501365 1810 58.80 6236 22.76
72 2022 12 15 42879.80 28.901365 1810 58.81 6236 22.76
73 2022 12 15 42880.40 29.281849 1810 58.81 6235 22.75
74 2022 12 15 42880.80 29.681849 1810 58.80 6235 22.75
75 2022 12 15 42880.40 30.062495 1810 58.80 6234 22.74
76 2022 12 15 42880.80 30.462495 1810 58.80 6235 22.75
77 2022 12 15 42881.40 30.843013 1810 58.80 6234 22.74
78 2022 12 15 42881.80 31.243013 1810 58.80 6234 22.74
79 2022 12 15 42882.40 31.623538 1810 58.80 6234 22.74
80 2022 12 15 42882.80 32.023538 1811 58.83 6235 22.75
81 2022 12 15 42883.00 32.004089 1811 58.84 6235 22.75
82 2022 12 15 42883.40 32.404089 1811 58.84 6234 22.74
83 2022 12 15 42884.00 32.784505 1811 58.83 6235 22.75
84 2022 12 15 42884.40 33.184505 1811 58.84 6235 22.75
85 2022 12 15 42884.00 33.565090 1810 58.80 6235 22.75
86 2022 12 15 42884.40 33.965090 1810 58.80 6235 22.75
87 2022 12 15 42885.00 34.345706 1811 58.84 6234 22.74
88 2022 12 15 42885.40 34.745706 1811 58.83 6234 22.74
89 2022 12 15 42886.00 35.125904 1811 58.83 6235 22.75
90 2022 12 15 42886.40 35.525904 1811 58.84 6235 22.75
91 2022 12 15 42887.00 35.906296 1810 58.80 6234 22.74
92 2022 12 15 42887.40 36.306296 1811 58.83 6235 22.75
93 2022 12 15 42887.00 36.686838 1811 58.84 6236 22.76
94 2022 12 15 42887.40 37.086838 1811 58.84 6234 22.74
95 2022 12 15 42887.80 37.486838 1811 58.83 6235 22.75
96 2022 12 15 42888.40 37.867525 1811 58.84 6235 22.75
97 2022 12 15 42888.80 38.267525 1811 58.84 6234 22.74
98 2022 12 15 42889.40 38.647985 1811 58.83 6235 22.75
99 2022 12 15 42889.80 39.047985 1810 58.80 6234 22.74
100 2022 12 15 42890.40 39.428489 1811 58.83 6234 22.74
101 2022 12 15 42890.80 39.828489 1811 58.83 6235 22.75
102 2022 12 15 42891.40 40.208768 1811 58.84 6236 22.76
103 2022 12 15 42891.80 40.608768 1811 58.84 6235 22.75
104 2022 12 15 42891.40 40.988993 1811 58.84 6235 22.75
105 2022 12 15 42891.80 41.388993 1810 58.80 6234 22.74
106 2022 12 15 42892.40 41.769536 1811 58.83 6235 22.75
107 2022 12 15 42892.80 42.169536 1811 58.84 6235 22.75
108 2022 12 15 42893.40 42.550104 1811 58.84 6235 22.75
109 2022 12 15 42893.80 42.950104 1811 58.84 6234 22.74
110 2022 12 15 42894.40 43.330569 1811 58.83 6234 22.74
111 2022 12 15 42894.80 43.730569 1812 58.86 6235 22.75
112 2022 12 15 42894.40 44.111110 1811 58.84 6234 22.74
113 2022 12 15 42894.80 44.511110 1811 58.83 6234 22.74
114 2022 12 15 42895.40 44.891585 1811 58.83 6235 22.75
115 2022 12 15 42895.80 45.291585 1812 58.87 6234 22.74
116 2022 12 15 42896.40 45.672172 1812 58.86 6234 22.74
117 2022 12 15 42896.80 46.072172 1812 58.86 6234 22.74
118 2022 12 15 42897.40 46.452724 1812 58.86 6234 22.74
119 2022 12 15 42897.80 46.852724 1811 58.83 6234 22.74
120 2022 12 15 42898.40 47.233197 1812 58.86 6234 22.74
121 2022 12 15 42898.80 47.633197 1812 58.86 6234 22.74
122 2022 12 15 42898.40 48.013736 1812 58.86 6233 22.73
123 2022 12 15 42898.80 48.413736 1812 58.86 6234 22.74
124 2022 12 15 42899.40 48.794306 1812 58.86 6234 22.74
125 2022 12 15 42899.80 49.194306 1812 58.86 6234 22.74
